OT hour,Downtime,Absent percentage,Precipitation (%),UV Index,Season
14,73,9.5,82,2,Winter
39,96,8.5,71,7,Spring
30,64,7,16,5,Spring
38,83,1.5,82,7,Spring
27,74,17,66,1,Winter
32,55,3.5,26,2,Summer
-2,97,8,86,1,Winter
3,85,6,96,1,Winter
3,83,6,66,0,Winter
28,74,8.5,107,8,Winter
35,45,6,86,2,Spring
38,43,2,16,11,Autumn
12,59,10.5,25,3,Autumn
-10,87,15,67,0,Winter
24,21,3.5,8,8,Winter
10,50,6.5,46,2,Summer
30,27,7,13,5,Spring
33,51,0.5,27,3,Autumn
43,46,0.5,15,9,Spring
13,102,12,72,4,Summer
-10,67,8.5,75,1,Winter
-7,88,12.5,98,1,Winter
33,36,7.5,18,8,Summer
26,73,13.5,29,1,Summer
38,83,7,101,4,Spring
4,79,1,85,1,Winter
17,72,7.5,62,2,Summer
40,57,4,12,11,Winter
24,61,6.5,3,7,Autumn
30,70,16,54,0,Winter
28,85,7,97,1,Spring
2,61,16.5,63,0,Winter
4,95,2.5,56,1,Winter
15,97,23,91,13,Winter
29,69,3,15,10,Winter
35,21,10,6,5,Autumn
11,90,25.5,76,0,Winter
2,105,19,109,7,Winter
-9,49,1.5,58,8,Spring
27,64,11.5,37,3,Autumn
32,37,0.5,9,11,Winter
36,22,1,0,10,Summer
28,54,15,39,3,Winter
42,64,2,18,8,Autumn
21,43,10,11,11,Spring
22,50,0,18,5,Summer
33,66,9,18,3,Autumn
26,25,2.5,14,8,Winter
26,91,9.5,82,3,Summer
-2,98,18.5,86,0,Winter
17,90,11,98,3,Winter
25,55,8.5,37,4,Summer
-4,96,20,88,1,Winter
-1,87,14,78,0,Winter
-5,94,5.5,55,0,Winter
22,95,13,90,3,Autumn
41,85,9,101,3,Summer
33,41,0,4,7,Winter
31,70,0.5,69,3,Spring
16,84,18.5,54,0,Spring
10,64,14,18,1,Spring
29,63,6,68,0,Winter
15,55,1.5,32,2,Autumn
3,75,46.5,87,5,Winter
24,52,9,29,1,Autumn
25,85,9,67,1,Winter
25,89,1.5,87,11,Summer
24,47,8,17,5,Summer
2,97,2,89,0,Winter
21,54,3,17,7,Summer
2,81,13.5,57,1,Winter
21,75,3.5,41,2,Winter
11,52,6,97,7,Summer
31,62,6.5,84,0,Spring
33,31,6.5,18,7,Summer
34,47,5,4,9,Spring
21,66,13.5,29,3,Autumn
28,68,18,90,3,Winter
33,62,10,83,1,Summer
25,96,6,90,0,Autumn
27,73,9.5,47,1,Summer
49,75,11.5,82,10,Summer
-5,73,12,63,1,Winter
31,62,5.5,99,0,Summer
2,91,6.5,92,0,Winter
32,35,2.5,63,2,Winter
-7,78,10,96,7,Winter
27,43,1,8,9,Summer
12,56,9.5,19,4,Winter
-7,93,9,60,1,Winter
15,81,28.5,71,4,Winter
30,64,6,67,3,Summer
19,93,14.5,57,0,Winter
14,44,9,11,14,Winter
32,38,11,15,9,Autumn
17,88,18,83,0,Spring
23,88,11.5,65,1,Winter
28,35,9.5,0,9,Winter
-4,87,5,54,1,Winter
31,72,17,96,13,Winter
40,66,8,5,5,Autumn
20,24,3,6,9,Winter
-7,61,2.5,99,1,Winter
-3,82,0,65,0,Winter
22,65,6,14,8,Autumn
33,79,4.5,43,1,Spring
29,47,8.5,2,11,Summer
13,80,15.5,59,0,Autumn
27,39,5,16,5,Autumn
38,75,0.5,79,0,Summer
20,48,9.5,6,6,Autumn
19,82,7,85,1,Summer
18,70,5,94,2,Spring
18,60,12.5,42,2,Summer
2,80,13.5,79,1,Winter
1,81,9.5,63,1,Winter
22,69,1,19,2,Autumn
-10,70,2.5,56,1,Winter
32,61,5.5,53,2,Summer
41,29,8,17,11,Spring
-1,99,2.5,72,0,Winter
31,65,1.5,18,2,Summer
19,62,1,14,2,Autumn
-3,92,28,99,1,Winter
-1,83,18,73,0,Winter
3,70,2,81,1,Winter
0,64,4.5,52,1,Winter
26,76,9,68,3,Spring
22,92,19.5,81,0,Winter
20,96,14,94,0,Summer
23,52,1,36,1,Spring
3,81,2.5,89,1,Winter
20,95,16,91,0,Summer
-2,91,2.5,83,1,Winter
29,77,0.5,91,14,Autumn
2,77,6.5,75,0,Winter
16,67,6.5,45,2,Summer
46,94,4,90,10,Spring
-2,92,1,71,1,Winter
20,50,6.5,21,4,Autumn
0,64,10.5,78,0,Winter
22,48,6,15,5,Spring
29,50,5.5,13,4,Autumn
4,77,13,76,1,Winter
40,39,9.5,15,8,Autumn
-3,60,8,94,1,Winter
33,25,4,3,11,Spring
31,87,11,54,0,Spring
41,72,2.5,26,6,Spring
33,77,1,22,4,Winter
-5,68,0.5,96,1,Winter
-9,90,1.5,97,1,Winter
1,89,7.5,76,1,Winter
13,62,14,13,1,Autumn
13,75,9.5,40,2,Autumn
15,105,7.5,75,10,Summer
31,86,13.5,78,3,Winter
26,60,11.5,50,3,Summer
44,25,1,6,10,Summer
28,93,12.5,50,0,Summer
18,88,15.5,88,1,Winter
30,77,12,51,0,Spring
24,50,3.5,10,4,Summer
36,32,6,2,7,Spring
3,75,10.5,73,1,Winter
35,49,9,14,10,Autumn
26,43,7,18,5,Summer
16,59,11.5,37,4,Summer
38,73,2.5,79,3,Autumn
34,51,9,40,4,Spring
33,88,19,98,2,Autumn
17,72,20,56,0,Summer
30,58,1,43,2,Winter
17,69,2,35,1,Spring
-5,94,9,63,0,Winter
